ndate;c4_q;c5_q;c6_q;c7_q;c8_q;rtp;T;P;U;ff;ff10;Td;RRR;Wg;so2_n;so2_m;so2_ug
2017-11-10 22:46:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.00960564022728552;0;0.40599998831749
2017-11-10 22:48:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.0114370686855788;0;0.40599998831749
2017-11-10 22:50:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.0100417018014317;0;0.40599998831749
2017-11-10 22:52:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.0106797476066276;0;0.40599998831749
2017-11-10 22:54:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.0106705682662626;0;0.40599998831749
2017-11-10 22:56:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.013475934897239;0;0.40599998831749
2017-11-10 22:58:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.0184811373706907;0;0.40599998831749
2017-11-10 23:00:00;0;0;0;0;0;1;2;740.5;88;6;8;0.2;0.5;180;0.0177140615492438;0;0.40599998831749
2017-11-10 23:02:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0177599709636221;0;0.40599998831749
2017-11-10 23:04:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0187095214224731;0;0.40599998831749
2017-11-10 23:06:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0172302099022393;0;0.40599998831749
2017-11-10 23:08:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0121220799473425;0;0.40599998831749
2017-11-10 23:10:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0105371907431011;0;0.40599998831749
2017-11-10 23:12:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00953772743232548;0;0.40599998831749
2017-11-10 23:14:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0117639297929903;0;0.40599998831749
2017-11-10 23:16:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0112126924019928;0;0.40599998831749
2017-11-10 23:18:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00948872885977228;0;0.40599998831749
2017-11-10 23:20:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00956608507161339;0;0.40599998831749
2017-11-10 23:22:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0104826972819865;0;0.40599998831749
2017-11-10 23:24:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0116519369961073;0;0.40599998831749
2017-11-10 23:26:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0108915527428811;0;0.40599998831749
